relative_path,change_type,c83_size_bytes,c83_sha256,c84_size_bytes,c84_sha256
data/app.so,MODIFIED,18285448,326d7b5ab60656d3c25845d4a3fb4c11c47f80a0cd5fdd67005888ac57ec43ae,18400136,f8a59eac2fde6238a1a2b49e2dddec0d5f8781429fb271127db38a455a59f865
data/flutter_assets/AssetManifest.bin,MODIFIED,1384,45fbe075a0dba029c2c67ac7eba7c8851c6d7f52c4874008afa5d94a0c9019fd,1515,cdf93a5bf882c23e95ae59537ab5d52e2b58ef86a840b2d6c5697792cbff190f
data/flutter_assets/assets/models/image_model_catalog.json,MODIFIED,14648,4d363c47103edd66fb591a30c69f497d043f663d19ce370c44882502db8e03ca,16001,bb495b837fbb4f2775a980c3d4cc39fa63b986f1ff3920b9a9b285434fd973c4
data/flutter_assets/assets/models/model_allowlist.json.bak_20260901_2115,REMOVED_IN_C84,9503,b89989aad8b9c9d2984115c5ff71412ebbc792d6854c0ca8e3c1d428bf9a35b5,,
data/flutter_assets/fonts/MaterialIcons-Regular.otf,MODIFIED,35768,3ae74221416bcb32e68198ebb08537406b6e40d63168fa7e78d1010e719d48a2,35844,fd850cec2e96463cf15ed66ddc330980c5f56722f423d0053fde0e0cce67e585
data/logs/crisperweaver.log,MODIFIED,4352,5cfe88e325341da34f8435e5b7f1c19d18579d7ea92413623cadc73953cea6ed,7030,8b27f914e540645ef1bf795ddccf36bc15d26789a68d4cd61c77d94a08a5c531
data/logs/session.log,MODIFIED,4352,5cfe88e325341da34f8435e5b7f1c19d18579d7ea92413623cadc73953cea6ed,7030,8b27f914e540645ef1bf795ddccf36bc15d26789a68d4cd61c77d94a08a5c531
data/preferences.json,MODIFIED,21363,a42fbc13b8d9694597400ae90b2bb039118d2dfa59b9642f2d5046eb6cb8eaaa,21290,3a13fae25aeadee5649e9456090be51072d94a3a25beb56f1cb6a1577bb4861b
data/preferences.json.bak_before_restore,REMOVED_IN_C84,17791,eed9e5b3153619aa6399fabaceabb4414ecd457cf959c088d819078e19d26bda,,
sd_server.py.bak_20260903_1904,REMOVED_IN_C84,23140,ac252cff89825c8f1d97c045fb59f876d01925a46a4f9859d14521e4a79568ed,,
